,Unnamed: 0,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_sigma5d_max,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,radial_velocity,radial_velocity_error,l,b,fidelity_v2,X,Y,Z,v_a_lsr,v_d_lsr,U,V,W,mag_abs_g,bp_rp,g_rp,region,cluster_label_group_0,cluster_label_group_1,cluster_label_group_2,cluster_label_group_3,cluster_label_group_4,cluster_label_group_5,cluster_label_group_6,cluster_label_group_7,cluster_label_group_8,cluster_label_group_9
164276,164276,3322974900805781632,88.31568505488131,0.24508727,7.419821403210878,0.23585503,3.1772634692925035,0.3132548,5.6042523,-0.5426805614564408,0.26844984,-5.577915692605809,0.22179355,-0.37753117,0.23134188,-0.0043300735,0.15726909,-0.5297302,-0.0122950105,-0.46791285,0.13122453,0.2931245,-0.18497452,0.3866785,1.0662518,467.5662390542578,1.2937208,19.012758,70.43879396366081,7.2475314,20.719013,622.3981475615494,9.8831215,17.762724,,,199.5425993810936,-9.365809959574149,0.98339844,-292.651335506519,-103.87824304153688,-51.21928909986069,-0.4454559872520726,0.8397666058845636,,,,11.523024147342497,2.9562890000000017,1.250034000000003,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
164280,164280,3322976000317405184,88.28018011085615,0.3481683,7.460758484313749,0.3560154,4.426184392246734,0.46671867,6.6852174,-4.224265066576278,0.37044966,-5.181478316622461,0.30324382,-0.3603229,0.23522575,-0.0054197037,0.09594834,-0.5999296,-0.1086734,-0.45650464,0.18099669,0.284078,-0.11578451,0.532389,0.966713,296.5983749660929,1.2377988,19.506945,32.82190290530437,6.4665704,21.548132,443.0811185260548,9.504697,18.131687,,,199.48897612124617,-9.376584559188752,0.9277344,-210.1381087953389,-74.36833329772989,-36.80884125747534,-4.170273875267042,3.623740261859139,,,,12.73709251210801,3.4164449999999995,1.3752580000000023,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
164311,164311,3322986033364190080,88.61267066381544,0.014821716,7.669677540180194,0.013519219,4.678417452276873,0.015803037,7.6519256,-3.355169053170328,0.01790218,-6.87712196574439,0.014876785,-0.35993236,0.16054714,-0.18048364,0.27610025,-0.27956134,0.2445417,-0.42763683,0.069060214,0.107807025,-0.33894792,0.027742133,0.9317165,124407.8580275418,30.636614,12.950248,56356.1756360849,45.94037,13.461188,96759.38416068567,62.37461,12.283663,16.832277,1.2366256,199.46692597288063,-8.98696035057824,1.0,-199.05442327477408,-70.35960445469817,-33.38941824019717,-2.9494417899797147,2.2610684333967384,-13.261768653535944,-9.3858810968341,-8.914694161508807,6.300742855142012,1.1775249999999993,0.6665849999999995,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
164356,164356,3323001765825118336,89.08455863238238,0.01442377,7.752596947076852,0.012185074,3.476224877619947,0.01775366,6.336401,-0.3803750600199794,0.020689676,-6.324973879263908,0.014789291,-0.092740975,0.00057746534,0.13824062,-0.054419328,-0.4231635,0.056084797,-0.34543654,-0.110799044,0.28088477,-0.30113292,0.029969042,0.90697765,81557.21286942194,17.679068,13.4087105,36016.49618884948,46.460068,13.9472885,64350.78055528933,46.15466,12.726511,76.99935,2.0661967,199.6237840986312,-8.538060146235418,1.0,-267.95713170490194,-95.54062808607574,-42.70906544072442,0.068149932555247,0.6259880348222564,-68.62660620401257,-32.20545893255286,-16.02377760877701,6.114249816372293,1.2207775000000003,0.6821994999999994,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
164408,164408,3323021110358761856,88.93827038567262,0.2006327,7.960527365341034,0.17856856,4.150002932863842,0.24376304,6.3638306,-2.6114973496095324,0.2392205,-5.803311439652933,0.19040804,-0.40431604,0.22692655,0.23425329,-0.046851013,-0.5258396,-0.09509616,-0.25088182,-0.02031673,0.3660396,-0.38865036,0.3627041,1.0299715,649.8311281841686,1.3898996,18.655365,123.32439849606766,14.784422,20.11092,856.0620253486627,10.749947,17.416632,,,199.36879173737967,-8.563590263653019,1.0,-224.79155287109603,-79.02402913583668,-35.881166759181475,-2.438556087875312,2.678556995728082,,,,11.74560701817026,2.694288,1.238733,4.0,0.0,1.0,0.0,1.0,1.0,-1.0,0.0,1.0,1.0,-1.0
164418,164418,3323026680934793856,88.31947033375543,0.014695915,7.6339447899981,0.011869442,2.6124593190374035,0.016864216,6.0629673,-2.863650008036253,0.016873222,-5.344069913211428,0.013186156,-0.08137141,0.29475608,0.049929813,0.00970451,-0.22122176,-0.019826612,-0.2450095,0.17660241,0.032462858,-0.09281648,0.023614487,1.0051038,1078733.1477315982,249.45976,10.605082,682998.923672056,451.56015,10.752492,580535.6587190882,143.1398,10.338324,27.679691,1.01041,199.3550323170313,-9.258094370947052,1.0,-356.44301990607414,-125.20908889086652,-61.58257012629734,-4.830952659831592,-0.4771321010060045,-22.40357394392531,-14.15343158969026,-13.600053928300424,2.6903296819015203,0.4141680000000001,0.2667579999999994,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164459,164459,3323037023215971584,88.36956389239181,0.07730309,7.765574076156238,0.071068846,2.7155579420464337,0.093905844,4.9681764,-2.587873343339898,0.098919064,-4.240953937854195,0.07628702,-0.2174307,0.09102768,-0.15287715,0.17549193,-0.31405637,0.10365044,-0.447021,0.25838065,0.039890695,-0.25510454,0.14493646,0.99374855,2550.945201918288,4.1226745,17.170614,425.4280020536775,23.794153,18.766478,3397.9065812588774,22.952614,15.919867,,,199.26318841696104,-9.150525274461192,1.0,-343.20737949680114,-119.9420633530327,-58.56207133837155,-4.137748507455724,1.852261604266605,,,,9.339909368993576,2.846611,1.2507470000000005,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164468,164468,3323041004648720256,88.07376595937977,0.13252479,7.67573835414542,0.108691856,4.808380636107737,0.16790082,7.449074,-5.669099239874933,0.15603456,-4.832185468810145,0.1357497,-0.148799,0.15908574,0.07910621,0.20614004,-0.3830922,0.11185566,-0.39591634,0.06677913,0.4559332,-0.050905183,0.21788184,0.98978126,968.1820003569504,1.7230316,18.222475,141.76586984087473,9.911271,19.959614,1265.2285085958847,13.364517,16.992474,,,199.1975299661725,-9.450173860772866,1.0,-193.7396472338489,-67.4579408031477,-34.14658926798657,-5.294876901324003,4.467573990332188,,,,11.63246919765442,2.967139999999997,1.230000999999998,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
164489,164489,3323048842965644928,87.99026226932135,0.012602068,7.859636666487268,0.010598784,2.948095168039336,0.01410653,4.8587604,-2.281813485952986,0.015240237,-4.289624887015559,0.012398298,-0.069836766,0.09719632,-0.16548315,0.11137776,-0.28417894,0.107110545,-0.44299832,-0.045821413,0.19813156,-0.06213448,0.021453176,1.012694,235644.6000711559,229.07784,12.256723,126110.97293471536,373.50864,12.58666,157024.82538040628,341.8033,11.757975,26.236427,5.7413597,198.9939058669872,-9.432369888794392,1.0,-316.3971939633459,-108.906685685618,-55.58954525288327,-3.3991351289565586,2.38365457540437,-22.08055825822463,-12.061565003242244,-10.786898874767648,4.604430494793995,0.8286850000000001,0.4987479999999991,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164490,164490,3323048842965645056,87.99370031552843,0.079719506,7.856541260280685,0.07090634,3.003718054374273,0.09250713,5.2785563,-2.4092745968762266,0.09437313,-4.696653308574041,0.08121022,-0.084422335,0.11006739,-0.24484143,0.054584768,-0.35136518,0.016477294,-0.4872041,2.7143633e-05,0.27202222,-0.009866891,0.13278143,1.0185131,2262.96838634514,3.4636981,17.30067,407.845239667149,13.662803,18.812304,2960.4331504168063,13.366381,16.069508,,,198.9983320943305,-9.430915458005677,1.0,-310.5311980258129,-106.91439068057736,-54.55180058099548,-3.531354009319513,1.8681741282890645,,,,9.688965824789705,2.742796000000002,1.2311620000000012,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
