ra,dec,parallax,pmra,pmdec,radial_velocity,radial_velocity_error,X,Y,Z,v_a_lsr,v_d_lsr,distance,SigMA_label,labels_final,ra_scaled,dec_scaled,parallax_scaled,pmra_scaled,pmdec_scaled,cluster_label
179.22782431773547,-64.61989799180563,2.07913241826505,-4.278124921811493,-8.333818794324703,-3.8627903,4.201119,219.1350583532774,-427.6893247442699,-19.840889897897963,6.83166916907954,-15.39966579860183,480.9698464682006,0,0,1.4330499406806296,-2.843181596805523,0.05485637617517836,0.9571580187486474,-2.8546396952539506,0
179.3445795038688,-64.59386194537426,2.0748247747018675,-4.298519367743731,-8.660685987162951,,,219.92139940582388,-428.4212253814946,-19.580118394744865,6.763506773350105,-16.152615759544595,481.96841111254344,0,0,1.4491726807131293,-2.8298670197897517,0.01163844538216446,0.9539608085004054,-2.9443000841455733,0
179.09910291864605,-64.548239178196,2.205889793790006,-4.13503920811255,-8.038234597572782,-5.323094,0.19284089,206.06460408976747,-403.37877756949104,-18.239117634439506,7.701039389047419,-13.698567497384705,453.3318041613809,0,0,1.4152747846223088,-2.8065359872203985,1.3265937895869353,0.9795893763709753,-2.7735603008954297,0
178.7670988628061,-64.43445332670466,2.019971537794192,-4.15227978631104,-8.2938357478743,,,223.78010720113477,-441.1732787174837,-19.22291727468939,6.845837375942928,-15.96286409011144,495.0564803957583,0,0,1.3694282979751964,-2.7483470265047227,-0.5386957133468928,0.976886593785708,-2.843672257798125,0
178.50719958841435,-64.43277464016103,2.053835838215134,-4.550210532959214,-8.718295191707345,,,219.2542981321639,-434.3136285203775,-19.10046409068801,6.090117233966507,-16.689343234770448,486.8938312367946,0,0,1.3335387707136976,-2.747488562784842,-0.19894035279314884,0.9145035182414503,-2.960102415478786,0
176.046114449951,-64.15969975944846,2.1027525548374544,-4.915857236853603,-8.515281972889998,,,205.95307920459723,-428.2550372687197,-18.57547954239299,5.512834521486507,-16.37562139547269,475.5671311393562,0,0,0.9936871786826604,-2.607840765646983,0.29183360345382153,0.8571815692749889,-2.9044154436806995,0
179.01534458142885,-63.77203665760242,1.9749549593067823,-4.277718925784456,-8.402347439213473,,,228.68151488899096,-451.54934185370706,-13.741245832426218,6.3203314712571155,-16.5313858924985,506.3406612326006,0,0,1.403708584085698,-2.409593683882584,-0.9903401786029142,0.9572216662075045,-2.8734372530559162,0
178.70624479918743,-64.35723548959126,2.1250395846915264,-4.211745020061821,-8.420908628771292,,,212.41466566301617,-419.53751762946973,-17.70079198078542,7.195500127777595,-15.291550374416495,470.5794692973502,0,0,1.3610249517930002,-2.7088585872001,0.5154359743759614,0.9675643079342663,-2.8785286281174343,0
178.4848453819696,-64.26228803838983,2.0692449828337485,-4.437999667348455,-8.204554241634275,-7.8125906,3.436274,217.290373873292,-431.30503558380855,-17.574798409108286,6.425554043298572,-15.349941906319197,483.2680558831366,0,0,1.3304518752097145,-2.6603033983466404,-0.044342755304186465,0.9320946668652875,-2.819182144548149,0
179.86973536731415,-64.42413528456895,2.1375145706287846,-4.379727890033026,-8.608001515166904,-6.0106564,2.968426,214.85656153030845,-415.2180824120554,-17.273730079504254,6.864677146944667,-15.3002677481583,467.8330682470313,0,0,1.5216915275693466,-2.743070481656411,0.6405956053835729,0.9412298561337372,-2.929848617766526,0
